Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1718218,Narpay tumani,Нарпайский район,Narpai district,Нарпай тумани,93.3,95.1,97.1,99.0,100.7,102.5,104.4,106.0,107.7,109.8,111.7,113.8
1718224,Payariq tumani,Пайарыкский район,Payaryk district,Паяриқ тумани,108.2,110.2,111.9,113.9,115.7,118.1,120.5,122.9,125.6,128.7,131.7,134.8
1718227,Pastdarg‘om tumani,Пастдаргомский район,Pastdargom district,Пастдарғом тумани,156.0,159.2,162.5,166.0,169.3,172.5,175.9,179.2,182.8,186.5,190.4,194.6
1718230,Paxtachi tumani,Пахтачийский район,Pakhtachi district,Пахтачи тумани,66.2,67.2,68.2,69.2,70.1,71.3,72.6,73.5,74.4,75.3,76.4,77.5
1718233,Samarqand tumani,Самаркандский район,Samarkand district,Самарқанд тумани,110.1,112.8,114.8,117.3,119.3,121.8,124.3,126.9,129.4,132.2,134.8,137.6
1718235,Nurobod tumani,Нурабадский район,Nurabad district,Нуробод тумани,66.6,68.0,69.3,70.5,71.7,73.2,74.5,75.8,77.6,79.1,80.6,82.0
1718236,Urgut tumani,Ургутский район,Urgut district,Ургут тумани,216.6,221.6,227.0,232.0,237.5,243.8,249.8,255.8,262.3,268.6,275.1,281.6
1718238,Tayloq tumani,Тайлякский район,Tailak district,Тайлоқ тумани,87.1,89.1,91.2,93.2,95.0,97.1,99.4,101.7,104.3,106.8,109.5,112.0
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1146.1,1170.1,1195.1,1219.8,1244.9,1271.8,1300.7,1326.1,1356.2,1387.2,1421.3,1454.6
1722401,Termiz shahri,Город Термез,Termiz  city,Термиз шаҳри,69.4,70.2,71.1,72.2,73.2,73.8,91.0,92.6,96.0,99.4,102.6,105.6
1722201,Oltinsoy tumani,Алтынсайский район,Altynsay district,Олтинсой тумани,74.9,76.6,78.3,80.1,81.8,83.7,85.8,87.7,89.5,91.3,93.6,95.9
1722202,Angor tumani,Ангорский район,Angor district,Aнгор тумани,58.4,59.6,61.0,62.1,63.6,64.7,66.1,67.3,68.5,70.1,71.8,73.4
1722203,Bandixon tumani,Бандихонский район,Bandykhan district,Бандихон тумани,0.0,0.0,0.0,0.0,0.0,0.0,36.5,37.6,38.7,39.7,40.8,42.0
1722204,Boysun tumani,Байсунский район,Baysun district,Бойсун тумани,52.3,53.3,54.3,55.4,56.4,57.5,56.3,57.3,58.4,59.5,60.8,62.0
1722207,Muzrabot tumani,Музрабадский район,Muzrabad district,Музработ тумани,62.9,64.4,65.9,67.0,68.6,69.9,71.3,72.7,74.2,75.8,77.3,78.8
1722210,Denov tumani,Денауский район,Denau district,Денов тумани,170.3,173.7,177.2,180.9,184.5,184.0,188.3,192.0,195.6,200.2,205.3,210.3
1722212,Jarqo‘rg‘on tumani,Джаркурганский район,Jarkurgan district,Жарқўрғон тумани,94.6,96.4,97.8,99.8,101.7,103.9,106.1,108.1,110.3,112.9,115.8,118.4
1722214,Qumqo‘rg‘on tumani,Кумкурганский район,Kumkurgan district,Қумқўрғон тумани,103.2,105.4,107.8,110.1,112.4,119.9,118.1,120.6,122.9,125.6,128.6,131.5
1722215,Qiziriq tumani,Кизирикский район,Kizirik district,Қизириқ тумани,73.4,75.2,77.2,79.3,81.3,83.9,56.5,57.6,58.8,59.9,61.2,62.6
1722217,Sariosiyo tumani,Сариасийский  район,Sariosia district,Сариосиё тумани,90.8,92.8,95.0,96.9,98.9,101.3,104.9,106.8,109.0,111.3,114.0,116.4
1722220,Termiz tumani,Термезский район,Termiz district,Термиз тумани,47.3,48.2,49.2,50.2,51.6,53.0,38.3,39.1,39.9,40.8,41.9,43.2
1722221,Uzun tumani,Узунский район,Uzun district,Узун тумани,76.2,78.0,79.8,81.4,83.0,83.4,83.9,85.1,87.8,89.7,91.8,94.0
1722223,Sherobod tumani,Шерабадский район,Sherabad district,Шеробод тумани,84.0,85.7,87.5,89.4,91.1,93.0,95.3,97.3,99.7,101.7,103.9,105.9
