geo_code,year,total_birth_yearly,birth_girls,birth_boys,share_girls,share_boys,sex_diff
1714207,2014,4543.0,2186.0,2357.0,48.11798371120405,51.88201628879595,0.0
1714207,2015,4594.0,2194.0,2400.0,47.7579451458424,52.242054854157594,0.0
1714207,2017,4591.0,2193.0,2398.0,47.767370943149636,52.23262905685036,0.0
1714207,2018,5001.0,2344.0,2657.0,46.87062587482503,53.12937412517497,0.0
1714207,2019,5440.0,2625.0,2815.0,48.25367647058824,51.74632352941176,0.0
1714207,2021,5904.0,2861.0,3043.0,48.45867208672087,51.54132791327913,0.0
1714207,2022,6050.0,2931.0,3119.0,48.446280991735534,51.553719008264466,0.0
1714207,2023,6286.0,3014.0,3272.0,47.947820553611194,52.052179446388806,0.0
1714207,2024,6167.0,3015.0,3152.0,48.889249229771366,51.11075077022864,0.0
1714212,2010,4475.0,2135.0,2340.0,47.70949720670391,52.29050279329609,0.0
1714212,2013,4814.0,2298.0,2516.0,47.735770668882424,52.264229331117576,0.0
1714212,2014,5370.0,2578.0,2792.0,48.0074487895717,51.9925512104283,0.0
1714212,2015,5289.0,2508.0,2781.0,47.41917186613727,52.58082813386273,0.0
1714212,2017,4047.0,1866.0,2181.0,46.10822831727205,53.89177168272795,0.0
1714212,2018,4141.0,1994.0,2147.0,48.15262014006279,51.84737985993721,0.0
1714212,2019,4643.0,2242.0,2401.0,48.287744992461775,51.71225500753823,0.0
1714212,2021,4881.0,2381.0,2500.0,48.780987502560954,51.21901249743905,0.0
1714212,2022,5239.0,2517.0,2722.0,48.04351975567857,51.95648024432143,0.0
1714212,2023,5291.0,2543.0,2748.0,48.062748062748064,51.937251937251936,0.0
1714212,2024,5306.0,2520.0,2786.0,47.4934036939314,52.5065963060686,0.0
1714216,2011,2792.0,1366.0,1426.0,48.92550143266476,51.07449856733525,0.0
1714216,2012,2914.0,1388.0,1526.0,47.632120796156485,52.367879203843515,0.0
1714216,2016,3532.0,1683.0,1849.0,47.65005662514156,52.349943374858434,0.0
1714216,2020,3992.0,1872.0,2120.0,46.893787575150306,53.106212424849694,0.0
1714219,2010,3976.0,1936.0,2040.0,48.692152917505034,51.30784708249497,0.0
1714219,2013,4349.0,2088.0,2261.0,48.0110370200046,51.9889629799954,0.0
1714219,2014,4603.0,2246.0,2357.0,48.79426461003693,51.20573538996307,0.0
1714219,2015,4685.0,2176.0,2509.0,46.44610458911419,53.55389541088581,0.0
1714219,2017,4404.0,2100.0,2304.0,47.68392370572207,52.31607629427793,0.0
1714219,2018,4720.0,2224.0,2496.0,47.11864406779661,52.88135593220339,0.0
1714219,2019,4948.0,2358.0,2590.0,47.655618431689575,52.344381568310425,0.0
